Source ID,Source Name,Source Type,URL,Organization Type,Content Type,Has Source Code,Has Repo,Has Documentation,Date Accessed,Key Use Cases Extracted,Notes
SRC001,McKinsey Finance AI,Web Research - Consulting,https://www.mckinsey.com/capabilities/strategy-and-corporate-finance/our-insights/how-finance-teams-are-putting-ai-to-work-today,Consulting Firm,Research Report,No,No,Yes,2026-02-05,"Financial reporting, forecasting, agentic workflows for AP/AR",44% of CFOs use GenAI for 5+ use cases; 20-30% time savings
SRC002,Deloitte GenAI Finance,Web Research - Consulting,https://www.deloitte.com/global/en/services/consulting/perspectives/generative-ai-in-finance.html,Consulting Firm,Thought Leadership,No,No,Yes,2026-02-05,"Financial analysis, risk mitigation, forecasting, invoice processing",Pioneer ROI of 10%+; touchless close processes
SRC003,Deloitte Controllership,Web Research - Consulting,https://www.deloitte.com/us/en/services/audit-assurance/blogs/accounting-finance/ai-real-world-impact-on-the-controllership-function.html,Consulting Firm,Blog,No,No,Yes,2026-02-05,"Close automation, anomaly detection, journal entries",GenAI potential for financial close
SRC004,Deloitte Finance Operate,Web Research - Consulting,https://www.deloitte.com/us/en/services/consulting/articles/generative-ai-and-operational-efficiency-in-finance-operate.html,Consulting Firm,Article,No,No,Yes,2026-02-05,"Collections acceleration, workflow orchestration",Operational efficiency focus
SRC005,EY Tax AI India,Web Research - Consulting,https://www.ey.com/en_in/insights/tax/the-rise-of-ai-in-delivering-smarter-tax-solutions,Consulting Firm,Insights,No,No,Yes,2026-02-05,"Tax return automation, compliance monitoring",Tax transformation trends
SRC006,EY Tax AI US,Web Research - Consulting,https://www.ey.com/en_us/insights/tax-compliance/ai-and-the-transformation-of-tax-compliance,Consulting Firm,Insights,No,No,Yes,2026-02-05,"GL account mapping, VAT reconciliation",Multinational tax automation
SRC007,KPMG Internal Audit,Web Research - Consulting,https://kpmg.com/us/en/articles/2024/transforming-internal-audits-power.html,Consulting Firm,Article,No,No,Yes,2026-02-05,"Internal audit transformation, KymChat AI assistant",Responsible AI approach
SRC008,Gartner Finance AI 2026,Web Research - Analyst,https://www.gartner.com/en/newsroom/press-releases/2024-09-12-gartner-predicts-that-90-percent-of-finance-functions-will-deploy-at-least-one-ai-enabled-tech-solution-by-2026,Analyst Firm,Press Release,No,No,Yes,2026-02-05,"90% finance AI adoption by 2026, code generation highest impact",Key industry prediction
SRC009,Gartner Finance AI 2025,Web Research - Analyst,https://www.gartner.com/en/newsroom/press-releases/2025-11-18-gartner-survey-shows-finance-ai-adoption-remains-steady-in-2025,Analyst Firm,Press Release,No,No,Yes,2026-02-05,"59% adoption rate, code generation top use case",Current adoption state
SRC010,Gartner Agentic AI Finance,Web Research - Analyst,https://www.gartner.com/en/articles/agentic-ai-in-finance,Analyst Firm,Article,No,No,Yes,2026-02-05,"Agentic AI transformation for CFOs",Future of finance AI
SRC011,Forrester AR Automation,Web Research - Analyst,https://www.forrester.com/blogs/top-ai-use-cases-for-accounts-receivable-automation-in-2025/,Analyst Firm,Blog,No,No,Yes,2026-02-05,"Cash application, collections, credit risk, payment prediction",Top AR use cases for 2025
SRC012,AI Multiple Top 25,Web Research - Research,https://research.aimultiple.com/generative-ai-finance/,Research Platform,Comprehensive Guide,No,No,Yes,2026-02-05,"25 GenAI finance use cases, fraud detection, reporting",Comprehensive use case list
SRC013,Journal of Accountancy,Web Research - Professional,https://www.journalofaccountancy.com/issues/2026/jan/simple-but-effective-ai-use-cases-for-cas/,Professional Association,Article,No,No,Yes,2026-02-05,"CAS AI use cases, transaction categorization",Practical use cases for accountants
SRC014,ICAEW AI Agents,Web Research - Professional,https://www.icaew.com/insights/viewpoints-on-the-news/2025/nov-2025/ai-agents-four-use-cases-for-accountants,Professional Association,Article,No,No,Yes,2026-02-05,"Expense analytics, reconciliation, workflow orchestration agents",4 key agentic AI areas
SRC015,ISACA IT Auditors,Web Research - Professional,https://www.isaca.org/resources/news-and-trends/isaca-now-blog/2025/five-ways-that-it-auditors-can-put-ai-to-good-use,Professional Association,Blog,No,No,Yes,2026-02-05,"5 AI use cases for IT auditors",IT audit focus
SRC016,IBM FP&A,Web Research - Technology,https://www.ibm.com/think/topics/ai-in-financial-planning-and-analysis,Technology Vendor,Thought Leadership,No,No,Yes,2026-02-05,"FP&A automation, forecasting, data collection",69% CFOs say AI central to transformation
SRC017,JP Morgan Treasury,Web Research - Financial Institution,https://www.jpmorgan.com/insights/treasury/forecasting-planning/ai-driven-cash-flow-forecasting-the-future-of-treasury,Financial Institution,Insights,No,No,Yes,2026-02-05,"Cash flow forecasting, scenario analysis",Up to 90% forecast accuracy
SRC018,Tipalti AP,Web Research - Vendor,https://tipalti.com/blog/ai-in-accounts-payable/,Software Vendor,Blog,No,No,Yes,2026-02-05,"Invoice processing, fraud detection, AP automation",AP automation platform perspective
SRC019,Ramp AP,Web Research - Vendor,https://ramp.com/blog/ai-in-accounts-payable/,Software Vendor,Blog,No,No,Yes,2026-02-05,"AP AI case studies, fraud detection",Proven case studies
SRC020,HighRadius,Web Research - Vendor,https://www.highradius.com/resources/Blog/leveraging-ai-in-accounting-audit/,Software Vendor,Blog,No,No,Yes,2026-02-05,"Audit automation, intercompany reconciliation",AR and audit automation
SRC021,RecVue Revenue,Web Research - Vendor,https://www.recvue.com/solutions/revenue-recognition/,Software Vendor,Product Page,No,No,Yes,2026-02-05,"Revenue recognition, billing automation",95% manual work reduction
SRC022,Zenskar Billing,Web Research - Vendor,https://www.zenskar.com/,Software Vendor,Product Page,No,No,Yes,2026-02-05,"Billing, RevRec, SaaS metrics",70% manual hour reduction
